bear ID,sample ID,species,date of birth,date of sampling,environment,sex,age,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave
Ran,210621Ran,BB,2019/2/1,2021/6/21,Captive,F,-1.115158653,-1.17085119,-1.130864871,-1.39105957,-1.175530293
Daichi,201101 Daichi,BB,2017/2/1,2020/11/1,Captive,M,-0.963786968,-0.992799458,-1.038245056,-1.184010943,-1.127512507
Kai,200603 Kai,BB,2016/2/1,2020/6/3,Captive,M,-0.89865937,-1.188093354,-0.88692254,-1.111994029,-1.02147323
Tokuto,200625 Tokuto,BB,2010/2/1,2020/6/25,Captive,M,-0.226140108,-0.037794715,-0.024318973,0.08160448,-0.358561018
Rocky,200625 Rocky,BB,2010/2/1,2020/6/25,Captive,M,-0.226140108,0.017098705,-0.191947795,0.027182608,-0.076789982
Sumiri,210304 Sumiri,BB,2006/2/1,2021/3/4,Captive,F,0.294406151,0.682505473,0.472044969,0.086923911,0.455740603
Masako,210504 Masako,BB,1992/2/1,2021/5/4,Captive,F,1.866619619,1.726536083,1.915153015,1.620147639,1.911946655
Junko,210413 Junko,BB,1989/2/1,2021/4/13,Captive,F,2.193163862,2.889150553,3.03115657,2.853846475,2.939660658
Makenko,201112 Makenko,BB,1987/2/1,2020/11/12,Captive,F,2.368861024,2.088973403,2.205079128,2.727816876,2.071005571
Shouhei,200719 Shouhei,BB,2018/2/1,2020/7/19,Captive,M,-1.10665313,-1.338346495,-1.349695492,-1.56209974,-1.313581428
Kutta,200603 Kutta,BB,2016/2/1,2020/6/3,Captive,M,-0.89865937,-0.740500858,-0.923122538,-1.034248497,-0.678346134
Kotetsu,210926 Kotetsu,BB,2017/2/1,2021/9/26,Captive,M,-0.863753635,-0.529724203,-0.930949565,-0.706489702,-0.848075669
Ana,200604 Ana,BB,2015/2/1,2020/6/4,Captive,F,-0.787392243,-0.751057285,-0.690920746,-0.626698235,-0.744704047
Fuku,201108 Fuku,BB,2015/2/1,2020/11/8,Captive,M,-0.739700559,-0.710239101,-0.761363986,-0.647566772,-0.747371701
Yuzuru,200719 Yuzuru,BB,2014/2/1,2020/7/19,Captive,M,-0.662753627,-0.321762595,-0.42219283,-0.435198714,-0.531958578
Lucky,210427 Lucky,BB,2015/2/1,2021/4/27,Captive,F,-0.687969715,-0.589192074,-0.640697325,-0.592735713,-1.060821138
Honoka,210519 Honoka,BB,2015/2/1,2021/5/19,Captive,F,-0.681285932,-0.436123886,-0.723859484,-0.705262141,-0.660339464
